Entrez_id	Maize_v3	Maize_v4	KO	EC	Gene_description
100170246	GRMZM2G432801	Zm00001d038792	K00844	EC2.7.1.1	hexokinase 2
100192075	GRMZM2G104081	Zm00001d039512	K00844	EC2.7.1.1	hexokinase1
100283735	GRMZM2G051806	Zm00001d037689	K00844	EC2.7.1.1	hexokinase-1
100279587	GRMZM2G171373	Zm00001d043607	K00844	EC2.7.1.1	hexokinase6
542510	GRMZM2G058745	Zm00001d010796	K00844	EC2.7.1.1	hexokinase3
100285932	GRMZM2G046686	Zm00001d037861	K00844	EC2.7.1.1	hexokinase-1
103650768	GRMZM2G068913	Zm00001d042146	K00844	EC2.7.1.1	hexokinase-3
103636300	GRMZM2G467069	Zm00001d011889	K00844	EC2.7.1.1	hexokinase-3
103651223	GRMZM5G856653	Zm00001d043511	K00844	EC2.7.1.1	hexokinase-6
109942531	-	-	K00844	EC2.7.1.1	hexokinase-10-like
100281592	GRMZM2G140614	Zm00001d020771	K01810	EC5.3.1.9	glucose-6-phosphate isomerase
100382805	GRMZM2G076075	Zm00001d005925	K01810	EC5.3.1.9	Glucose-6-phosphate isomerase 1 chloroplastic
542313	GRMZM2G065083	Zm00001d034256	K01810	EC5.3.1.9	phosphohexose isomerase 1
100281464	GRMZM5G879882	Zm00001d043563	K00850	EC2.7.1.11	6-phosphofructokinase
100280694	GRMZM2G009591	Zm00001d033002	K00850	EC2.7.1.11	pyrophosphate--fructose 6-phosphate 1-phosphotransferase
103647427	GRMZM2G127717	Zm00001d005756	K00850	EC2.7.1.11	ATP-dependent 6-phosphofructokinase 5, chloroplastic
100279231	GRMZM2G139360	Zm00001d032172	K00850	EC2.7.1.11	ATP-dependent 6-phosphofructokinase 5 chloroplastic
100285548	GRMZM2G443985	Zm00001d045326	K00850	EC2.7.1.11	6-phosphofructokinase
100192478	GRMZM2G080375	Zm00001d008816	K00850	EC2.7.1.11	ATP-dependent 6-phosphofructokinase 4 chloroplastic
100281688	-	Zm00001d010375	K00850	EC2.7.1.11	6-phosphofructokinase 2
100191982	-	Zm00001d025659	K00850	EC2.7.1.11	ATP-dependent 6-phosphofructokinase 2
100281585	-	-	K00850	EC2.7.1.11	6-phosphofructokinase 2
103629493	GRMZM5G816636	Zm00001d036206	K00850	EC2.7.1.11	ATP-dependent 6-phosphofructokinase 7
103630633	GRMZM2G004932	Zm00001d038775	K00850	EC2.7.1.11	ATP-dependent 6-phosphofructokinase 6
103630144	GRMZM2G401970	Zm00001d037910	K00850	EC2.7.1.11	ATP-dependent 6-phosphofructokinase 6
100193340	GRMZM2G123371	Zm00001d017830	K00895	EC2.7.1.90	uncharacterized LOC100193340
100382182	GRMZM2G059151	Zm00001d037278	K00895	EC2.7.1.90	ppi-phosphofructokinase
100191851	GRMZM2G450163	Zm00001d032386	K00895	EC2.7.1.90	uncharacterized LOC100191851
100282190	-	Zm00001d044754	K00895	EC2.7.1.90	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 2
100280449	GRMZM2G042502	Zm00001d051629	K00895	EC2.7.1.90	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 2
101027252	GRMZM2G314094	Zm00001d045919	K00895	EC2.7.1.90	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha
103632535	GRMZM2G409131	-	K00895	EC2.7.1.90	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha
103652493	-	Zm00001d043564	K00895	EC2.7.1.90	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha-like
100284739	GRMZM2G322953	Zm00001d010172	K03841	EC3.1.3.11	fructose-1,6-bisphosphatase, cytosolic
100273700	GRMZM5G836250	Zm00001d042727	K03841	EC3.1.3.11	uncharacterized LOC100273700
100216767	GRMZM2G306732	Zm00001d028562	K03841	EC3.1.3.11	Fructose-1,6-bisphosphatase
100281068	GRMZM2G095287	Zm00001d046942	K03841	EC3.1.3.11	fructose-1,6-bisphosphatase
103631224	-	Zm00001d036552	K03841	EC3.1.3.11	fructose-1,6-bisphosphatase, cytosolic-like
103644539	-	Zm00001d028395	K01623	EC4.1.2.13	fructose-bisphosphate aldolase 3, chloroplastic-like
100286050	GRMZM2G089365	Zm00001d040084	K01623	EC4.1.2.13	fructose-bisphosphate aldolase
100272845	GRMZM2G155253	Zm00001d053015	K01623	EC4.1.2.13	Fructose-bisphosphate aldolase
103648726	-	Zm00001d003968	K01623	EC4.1.2.13	fructose-bisphosphate aldolase 3, chloroplastic-like
100273196	GRMZM2G046284	Zm00001d023559	K01623	EC4.1.2.13	Fructose-bisphosphate aldolase
542261	GRMZM2G057823	Zm00001d042453	K01623	EC4.1.2.13	aldolase 1
100274515	GRMZM2G345493	-	K01623	EC4.1.2.13	uncharacterized LOC100274515
100272913	GRMZM2G066024	Zm00001d012103	K01623	EC4.1.2.13	fructose-bisphosphate aldolase cytoplasmic isozyme
103653043	-	-	K01623	EC4.1.2.13	fructose-bisphosphate aldolase 3, chloroplastic-like
100502020	GRMZM2G069195	Zm00001d008491	K01623	EC4.1.2.13	fructose-bisphosphate aldolase 3, chloroplastic
103653987	-	Zm00001d051622	K01623	EC4.1.2.13	fructose-bisphosphate aldolase 3, chloroplastic-like
100193000	GRMZM2G002807	Zm00001d006221	K01803	EC5.3.1.1	triose phosphate isomerase2
100280823	GRMZM2G146206	Zm00001d012407	K01803	EC5.3.1.1	triosephosphate isomerase, cytosolic
100194114	GRMZM2G018177	Zm00001d008619	K01803	EC5.3.1.1	uncharacterized LOC100194114
103644857	GRMZM2G435244	-	K01803	EC5.3.1.1	triosephosphate isomerase, cytosolic
103645706	GRMZM2G370275	-	K01803	EC5.3.1.1	triosephosphate isomerase, cytosolic-like
100191222	GRMZM5G852968	Zm00001d021310	K01803	EC5.3.1.1	Triosephosphate isomerase
100272481	GRMZM2G030784	Zm00001d039865	K01803	EC5.3.1.1	triosephosphate isomerase, cytosolic
103651898	-	Zm00001d040375	K01803	EC5.3.1.1	triosephosphate isomerase, cytosolic-like
100282981	GRMZM2G104632	Zm00001d015383	K00134	EC1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase, cytosolic
100191900	GRMZM2G051004	Zm00001d053798	K00134	EC1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase, cytosolic
542367	GRMZM2G046804	Zm00001d049641	K00134	EC1.2.1.12	GADPH (AA 1-337)
100037774	GRMZM2G176307	Zm00001d017121	K00134	EC1.2.1.12	uncharacterized LOC100037774
542333	GRMZM2G071630	Zm00001d051001	K00134	EC1.2.1.12	cytosolic glyceroldehyde-3-phosphate dehydrogenase GAPC3
542718	GRMZM2G180625	Zm00001d035156	K00134	EC1.2.1.12	cytosolic glyceroldehyde-3-phosphate dehydrogenase GAPC2
100281237	GRMZM2G089136	Zm00001d038579	K00927	EC2.7.2.3	phosphoglycerate kinase
100274579	GRMZM2G382914	Zm00001d015376	K00927	EC2.7.2.3	Phosphoglycerate kinase
100381624	GRMZM2G047028	Zm00001d043194	K00927	EC2.7.2.3	phosphoglycerate kinase
103635817	GRMZM2G083016	Zm00001d010672	K00927	EC2.7.2.3	phosphoglycerate kinase, chloroplastic
103644703	GRMZM2G062320	-	K01834	EC5.4.2.11	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
100191671	GRMZM2G021605	Zm00001d052233	K01834	EC5.4.2.11	uncharacterized LOC100191671
103634611	GRMZM2G050077	Zm00001d029025	K15633	EC5.4.2.12	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
100381658	GRMZM2G003385	Zm00001d043086	K15633	EC5.4.2.12	23-bisphosphoglycerate-independent phosphoglycerate mutase 1
542578	GRMZM5G833389	Zm00001d012518	K15633	EC5.4.2.12	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
103651775	GRMZM2G334628	Zm00001d039777	K15633	EC5.4.2.12	2,3-bisphosphoglycerate-independent phosphoglycerate mutase-like
100381976	GRMZM2G142777	Zm00001d052450	K15634	EC5.4.2.12	Pentatricopeptide repeat-containing protein
100284555	GRMZM2G141634	Zm00001d031809	K15634	EC5.4.2.12	phosphoglycerate mutase gpmB
103634230	GRMZM2G046679	-	K01689	EC4.2.1.11	cytosolic enolase 3
100283280	GRMZM2G034848	Zm00001d005674	K01689	EC4.2.1.11	enolase
100274470	GRMZM2G009030	Zm00001d020309	K01689	EC4.2.1.11	uncharacterized LOC100274470
732811	GRMZM2G064302	Zm00001d045431	K01689	EC4.2.1.11	enolase 1
542316	GRMZM2G048371	Zm00001d030373	K01689	EC4.2.1.11	enolase 2
100502326	GRMZM2G131539	Zm00001d047843	K01689	EC4.2.1.11	enolase
100383381	GRMZM2G481529	Zm00001d028554	K01689	EC4.2.1.11	Cytosolic enolase 3
103641594	-	-	K01689	EC4.2.1.11	enolase 1-like
103631112	GRMZM2G446253	Zm00001d036086	K01689	EC4.2.1.11	enolase 1-like
542177	GRMZM2G003883	Zm00001d040446	K00873	EC2.7.1.40	PK protein
100283452	GRMZM2G150098	Zm00001d001831	K00873	EC2.7.1.40	pyruvate kinase, cytosolic isozyme
100273990	GRMZM2G033526	Zm00001d030020	K00873	EC2.7.1.40	Pyruvate kinase
103644177	GRMZM2G078200	Zm00001d034443	K00873	EC2.7.1.40	pyruvate kinase isozyme A, chloroplastic
100191614	GRMZM2G119175	Zm00001d052494	K00873	EC2.7.1.40	pyruvate kinase
100282820	GRMZM2G004534	Zm00001d023379	K00873	EC2.7.1.40	uncharacterized LOC100282820
100272951	GRMZM2G177947	Zm00001d033405	K00873	EC2.7.1.40	Pyruvate kinase
100193244	GRMZM2G066290	Zm00001d018961	K00873	EC2.7.1.40	Pyruvate kinase
100283899	GRMZM2G008714	Zm00001d026619	K00873	EC2.7.1.40	pyruvate kinase, cytosolic isozyme
100191365	GRMZM2G124593	Zm00001d049049	K00873	EC2.7.1.40	Pyruvate kinase
100272999	GRMZM2G144730	Zm00001d047054	K00873	EC2.7.1.40	Pyruvate kinase
606466	GRMZM2G152686	Zm00001d043986	K00873	EC2.7.1.40	Pyruvate kinase
100283889	GRMZM2G140150	Zm00001d017985	K00161	EC1.2.4.1	pyruvate dehydrogenase E1 component alpha subunit
100272256	GRMZM2G027627	Zm00001d044748	K00161	EC1.2.4.1	Pyruvate dehydrogenase E1 component subunit alpha-1 mitochondrial
100272834	GRMZM2G033894	Zm00001d004473	K00161	EC1.2.4.1	Pyruvate dehydrogenase E1 component subunit alpha-3 chloroplastic
732791	GRMZM2G361693	Zm00001d052289	K00161	EC1.2.4.1	pyruvate dehydrogenase 1
542483	GRMZM2G097226	Zm00001d006107	K00162	EC1.2.4.1	pyruvate dehydrogenase E1 beta subunit
542607	GRMZM2G087552	Zm00001d021070	K00162	EC1.2.4.1	pyruvate dehydrogenase E1 beta subunit
541705	GRMZM2G043198	-	K00162	EC1.2.4.1	pyruvate dehydrogenase 2
100282233	GRMZM2G127546	Zm00001d033225	K00162	EC1.2.4.1	Pyruvate dehydrogenase E1 component subunit beta-3 chloroplastic
100284103	GRMZM2G088565	Zm00001d000227	K00162	EC1.2.4.1	pyruvate dehydrogenase E1 component subunit beta
541781	GRMZM2G015132	Zm00001d016365	K00627	EC2.3.1.12	dihydrolipoamide S-acetyltransferase
100192900	GRMZM2G165176	Zm00001d041839	K00627	EC2.3.1.12	Dihydrolipoyllysine-residue acetyltransferase component 5 of pyruvate dehydrogenase complex chloroplastic
100284493	GRMZM2G161969	Zm00001d053580	K00627	EC2.3.1.12	dihydrolipoamide S-acetyltransferase 1
103644210	GRMZM2G082664	Zm00001d034531	K00627	EC2.3.1.12	dihydrolipoyllysine-residue acetyltransferase component 1 of pyruvate dehydrogenase complex, mitochondrial
100274483	GRMZM2G036534	Zm00001d023606	K00627	EC2.3.1.12	dihydrolipoamide acetyl transferase
100272519	GRMZM2G058702	Zm00001d032224	K00627	EC2.3.1.12	uncharacterized LOC100272519
100279373	GRMZM2G117786	Zm00001d050383	K00627	EC2.3.1.12	uncharacterized LOC100279373
100285796	GRMZM2G121200	-	K00627	EC2.3.1.12	dihydrolipoyllysine-residue acetyltransferase component of pyruvatedehydrogenase complex
103650140	GRMZM2G462140	Zm00001d040721	K00382	EC1.8.1.4	dihydrolipoyl dehydrogenase 1, mitochondrial
100383599	GRMZM2G073774	Zm00001d009779	K00382	EC1.8.1.4	uncharacterized LOC100383599
100501719	GRMZM2G335657	Zm00001d009163	K00382	EC1.8.1.4	Dihydrolipoyl dehydrogenase
100381818	GRMZM2G145595	Zm00001d009212	K00382	EC1.8.1.4	dihydrolipoyl dehydrogenase
103631417	GRMZM2G159570	Zm00001d037554	K00382	EC1.8.1.4	dihydrolipoyl dehydrogenase 1, mitochondrial
100282503	GRMZM2G128929	Zm00001d014944	K00016	EC1.1.1.27	lactate dehydrogenase1
100193279	GRMZM2G173192	Zm00001d014945	K00016	EC1.1.1.27	Lactate/malate dehydrogenase family protein
103637324	-	Zm00001d011085	K00016	EC1.1.1.27	L-lactate dehydrogenase B
103631446	-	Zm00001d037686	K00016	EC1.1.1.27	L-lactate dehydrogenase B
541919	GRMZM2G087186	-	K01568	EC4.1.1.1	pyruvate decarboxylase 3
542376	-	Zm00001d010588	K01568	EC4.1.1.1	pyruvate decarboxylase 1
542651	GRMZM2G038821	Zm00001d008651	K01568	EC4.1.1.1	pyruvate decarboxylase
103634444	GRMZM2G434792	Zm00001d022579	K01568	EC4.1.1.1	pyruvate decarboxylase 3
103642047	GRMZM2G438178	-	K01568	EC4.1.1.1	uncharacterized LOC103642047
542459	GRMZM2G078118	Zm00001d018468	K00121	EC1.1.1.1 1.1.1.284	formaldehyde dehydrogenase homolog 1
100193894	GRMZM2G397055	-	K00121	EC1.1.1.1 1.1.1.284	putative alcohol dehydrogenase superfamily protein
100273217	GRMZM2G154007	Zm00001d027996	K00121	EC1.1.1.1 1.1.1.284	Alcohol dehydrogenase-like 2
